time,Piezo,Touch,Touch,Touch,Accel,Accel,Accel,Gyro,Gyro,Gyro,Temp
1409765577.2,145.0,985.0,1212.0,1074.0,0.0392,-2.432,-9.3752,-0.0408,0.0018,-0.0014,23.61
1409765577.21,110.0,980.0,1198.0,1081.0,0.0,-2.432,-9.2575,-0.0368,0.0002,-0.0079,23.61
1409765577.23,132.0,986.0,1203.0,1072.0,0.0392,-2.4713,-9.3752,-0.0365,-0.0002,-0.0031,23.61
1409765577.24,141.0,989.0,1203.0,1081.0,0.0392,-2.432,-9.2183,-0.0371,0.0009,-0.0064,23.61
1409765577.25,132.0,990.0,1203.0,1075.0,0.0392,-2.4713,-9.3359,-0.0365,0.0008,-0.0032,23.61
1409765577.27,138.0,989.0,1192.0,1074.0,0.0785,-2.432,-9.2575,-0.0356,0.0,-0.0024,23.61
1409765577.28,144.0,983.0,1197.0,1078.0,0.0392,-2.4713,-9.2183,-0.0374,0.0003,-0.0058,23.61
1409765577.3,116.0,984.0,1191.0,1068.0,0.0392,-2.4713,-9.2575,-0.0389,0.0008,-0.0043,23.61
1409765577.31,134.0,986.0,1204.0,1081.0,0.0392,-2.432,-9.3359,-0.0373,-0.0026,-0.0078,23.61
1409765577.32,165.0,990.0,1200.0,1080.0,0.0392,-2.4713,-9.2967,-0.0338,-0.0005,-0.0049,23.62
1409765577.34,160.0,985.0,1191.0,1076.0,0.0785,-2.432,-9.2967,-0.0354,0.0003,-0.0035,23.61
1409765577.35,133.0,985.0,1208.0,1085.0,0.0785,-2.432,-9.3359,-0.0388,0.0015,-0.0061,23.61
1409765577.37,133.0,994.0,1200.0,1086.0,0.0,-2.4713,-9.2575,-0.0341,-0.0002,-0.0101,23.61
1409765577.38,159.0,990.0,1199.0,1074.0,0.0,-2.4713,-9.3752,-0.0402,0.0,-0.0043,23.61
1409765577.4,144.0,985.0,1197.0,1077.0,0.0785,-2.4713,-9.2967,-0.0396,0.0005,-0.0052,23.61
1409765577.41,116.0,984.0,1190.0,1086.0,0.0,-2.4713,-9.2967,-0.0379,0.0006,-0.0044,23.61
1409765577.42,163.0,992.0,1192.0,1086.0,0.0392,-2.5105,-9.2967,-0.0399,-0.0005,-0.0053,23.61
1409765577.44,140.0,987.0,1210.0,1074.0,0.0392,-2.432,-9.2575,-0.0386,0.0012,0.0003,23.61
1409765577.45,131.0,986.0,1209.0,1083.0,0.0392,-2.3536,-9.2967,-0.0392,-0.0008,-0.0017,23.61
1409765577.47,153.0,975.0,1196.0,1070.0,0.0,-2.3928,-9.3359,-0.0344,-0.0012,-0.0058,23.61
1409765577.48,138.0,980.0,1204.0,1067.0,0.0,-2.5105,-9.2575,-0.0388,0.0014,0.0002,23.61
1409765577.49,131.0,990.0,1182.0,1085.0,0.0392,-2.432,-9.3359,-0.0377,0.0027,-0.0032,23.61
1409765577.51,127.0,992.0,1207.0,1072.0,0.0,-2.3928,-9.3359,-0.038,-0.0005,-0.002,23.61
1409765577.52,143.0,990.0,1204.0,1080.0,0.0,-2.3928,-9.2967,-0.0383,0.0,-0.0012,23.61
1409765577.54,136.0,985.0,1205.0,1078.0,0.0,-2.4713,-9.2967,-0.0336,-0.0002,-0.0008,23.61
1409765577.55,120.0,984.0,1206.0,1074.0,0.0392,-2.4713,-9.3752,-0.0388,0.0014,0.0008,23.61
1409765577.56,162.0,990.0,1200.0,1081.0,0.0,-2.432,-9.3359,-0.0409,-0.0021,-0.0029,23.61
1409765577.58,153.0,989.0,1196.0,1086.0,0.0,-2.4713,-9.2575,-0.0432,-0.002,-0.0086,23.62
1409765577.59,126.0,987.0,1199.0,1081.0,0.0392,-2.3928,-9.2575,-0.0396,-0.0011,-0.0055,23.61
1409765577.61,139.0,984.0,1198.0,1081.0,0.0785,-2.4713,-9.3359,-0.038,0.0003,-0.0023,23.61
1409765577.62,161.0,979.0,1199.0,1087.0,0.0392,-2.432,-9.3752,-0.0342,0.0035,0.0027,23.61
1409765577.64,122.0,992.0,1207.0,1076.0,0.0392,-2.4713,-9.3752,-0.0391,0.0017,0.0026,23.63
1409765577.65,120.0,989.0,1198.0,1084.0,0.0392,-2.4713,-9.3359,-0.0391,0.0008,-0.0002,23.61
1409765577.66,181.0,991.0,1187.0,1079.0,0.0,-2.432,-9.4928,-0.0357,0.0026,0.0015,23.61
1409765577.68,146.0,979.0,1187.0,1078.0,0.0392,-2.5105,-9.3752,-0.0373,0.0034,-0.0009,23.61
1409765577.69,116.0,988.0,1200.0,1076.0,0.0392,-2.432,-9.3359,-0.038,-0.0003,-0.0053,23.61
1409765577.71,146.0,989.0,1207.0,1079.0,0.0392,-2.3928,-9.3752,-0.036,0.0012,-0.0011,23.61
1409765577.72,148.0,989.0,1209.0,1070.0,0.0392,-2.432,-9.2967,-0.0388,0.0014,-0.0031,23.61
1409765577.73,72.0,990.0,1194.0,1088.0,0.0785,-2.5105,-9.2575,-0.0389,0.0023,0.0018,23.61
1409765577.75,155.0,993.0,1209.0,1080.0,0.0392,-2.3928,-9.3752,-0.0388,0.0014,-0.0029,23.61
1409765577.76,143.0,992.0,1198.0,1081.0,0.0785,-2.432,-9.2967,-0.0365,0.0029,0.0011,23.61
1409765577.78,129.0,994.0,1202.0,1080.0,0.0,-2.432,-9.3359,-0.037,0.0017,-0.0075,23.62
1409765577.79,152.0,986.0,1201.0,1082.0,0.0392,-2.432,-9.3359,-0.0328,0.0015,-0.0031,23.62
1409765577.8,146.0,977.0,1190.0,1074.0,0.0392,-2.3928,-9.3752,-0.0388,0.0008,-0.0052,23.62
1409765577.82,155.0,989.0,1200.0,1085.0,0.0,-2.432,-9.2575,-0.0328,-0.0024,-0.0082,23.61
1409765577.83,131.0,989.0,1208.0,1078.0,0.0,-2.4713,-9.4536,-0.0385,-0.0026,-0.0064,23.61
1409765577.85,162.0,979.0,1193.0,1079.0,0.0392,-2.3928,-9.3752,-0.0363,-0.0005,-0.007,23.61
1409765577.86,174.0,994.0,1203.0,1085.0,0.0785,-2.4713,-9.3752,-0.0377,0.0017,-0.0017,23.61
1409765577.87,137.0,991.0,1200.0,1076.0,0.0,-2.4713,-9.3752,-0.0351,0.002,-0.005,23.61
1409765577.89,123.0,990.0,1192.0,1081.0,0.0392,-2.4713,-9.3752,-0.0382,0.002,-0.0353,23.61
1409765577.9,150.0,994.0,1205.0,1082.0,0.0392,-2.4713,-9.2575,-0.036,0.0011,-0.0014,23.62
1409765577.92,121.0,983.0,1199.0,1074.0,0.0,-2.3928,-9.2967,-0.0371,-0.0006,-0.0047,23.61
1409765577.93,123.0,979.0,1196.0,1074.0,0.1177,-2.4713,-9.3752,-0.035,0.0012,-0.0011,23.61
1409765577.94,152.0,986.0,1198.0,1078.0,0.0,-2.4713,-9.3359,-0.036,0.0011,-0.0057,23.61
1409765577.96,166.0,990.0,1195.0,1082.0,0.0785,-2.4713,-9.2967,-0.0377,-0.0009,-0.0064,23.61
1409765577.97,111.0,1036.0,1543.0,892.0,0.0392,-2.432,-9.2967,-0.038,0.0014,-0.0023,23.61
1409765577.99,130.0,987.0,1186.0,1082.0,0.0785,-2.3928,-9.2967,-0.035,0.0012,-0.0014,23.61
1409765578.0,137.0,991.0,1195.0,1069.0,0.0392,-2.432,-9.3752,-0.038,0.0024,0.0021,23.62
1409765578.01,104.0,989.0,1192.0,1070.0,0.0,-2.4713,-9.3752,-0.0385,0.0,-0.005,23.62
1409765578.03,137.0,980.0,1206.0,1087.0,0.0392,-2.3928,-9.3359,-0.0385,0.0008,-0.0026,23.61
1409765578.04,156.0,990.0,1207.0,1082.0,0.0,-2.3928,-9.2967,-0.0362,0.0003,-0.0026,23.61
1409765578.06,145.0,985.0,1201.0,1084.0,0.0785,-2.3928,-9.2967,-0.0334,0.0011,-0.0037,23.62
1409765578.07,121.0,990.0,1209.0,1072.0,0.0785,-2.4713,-9.3359,-0.0368,0.0017,-0.0057,23.61
1409765578.09,123.0,987.0,1206.0,1074.0,0.0785,-2.432,-9.2967,-0.0394,0.0023,0.0023,23.61
1409765578.1,161.0,993.0,1197.0,1081.0,0.0392,-2.4713,-9.3752,-0.0342,0.0006,-0.004,23.61
1409765578.11,116.0,989.0,1189.0,1073.0,0.0392,-2.432,-9.3752,-0.0396,0.0,-0.006,23.61
1409765578.13,136.0,992.0,1208.0,1086.0,0.0,-2.4713,-9.3359,-0.0379,0.0018,-0.0003,23.61
1409765578.14,170.0,979.0,1194.0,1085.0,0.0785,-2.4713,-9.2575,-0.0376,0.0011,-0.006,23.61
1409765578.16,127.0,987.0,1195.0,1075.0,0.1569,-2.4713,-9.3752,-0.0392,0.0017,-0.0035,23.61
1409765578.17,129.0,981.0,1183.0,1079.0,0.0,-2.432,-9.4536,-0.035,0.0018,0.0002,23.62
1409765578.18,137.0,986.0,1184.0,1076.0,0.0392,-2.4713,-9.2967,-0.04,-0.0005,-0.006,23.61
1409765578.2,150.0,988.0,1198.0,1078.0,0.0392,-2.3928,-9.4144,-0.0423,0.0008,-0.0034,23.61
1409765578.21,123.0,989.0,1185.0,1082.0,0.0392,-2.4713,-9.2575,-0.0351,0.0008,-0.0018,23.63
1409765578.23,143.0,987.0,1209.0,1086.0,0.0392,-2.4713,-9.3752,-0.0403,-0.0011,-0.0047,23.61
